Date, Test , ComputeTime
22/02/24, 10000000 @ -O1, 17.663920
22/02/24, 10000000 @ -O2, 17.800833
22/02/24, 10000000 @ -O3, 17.869439
23/02/24, 500000 @ -O0, 0.036093
23/02/24, 500000 @ -O1, 0.038732
23/02/24, 500000 @ -O2, 0.036971
23/02/24, 500000 @ -O3, 0.038014
23/02/24, 1000000 @ -O0, 0.103293
23/02/24, 1000000 @ -O1, 0.108261
23/02/24, 1000000 @ -O2, 0.107184
23/02/24, 1000000 @ -O3, 0.107884
23/02/24, 5000000 @ -O0, 5.929533
23/02/24, 5000000 @ -O1, 6.689903
23/02/24, 5000000 @ -O2, 6.206996
23/02/24, 5000000 @ -O3, 6.396784
23/02/24, 10000000 @ -O0, 17.638424
23/02/24, 10000000 @ -O1, 18.520809
23/02/24, 10000000 @ -O2, 18.152482
23/02/24, 10000000 @ -O3, 17.728270
24/02/24, 500000 @ -O0, 0.036692
24/02/24, 500000 @ -O1, 0.036848
24/02/24, 500000 @ -O2, 0.037579
24/02/24, 500000 @ -O3, 0.036722
24/02/24, 1000000 @ -O0, 0.101258
24/02/24, 1000000 @ -O1, 0.101907
24/02/24, 1000000 @ -O2, 0.101374
24/02/24, 1000000 @ -O3, 0.103382
24/02/24, 5000000 @ -O0, 3.824635
24/02/24, 5000000 @ -O1, 5.103816
24/02/24, 5000000 @ -O2, 5.196313
24/02/24, 5000000 @ -O3, 4.169239
24/02/24, 10000000 @ -O0, 15.049926
24/02/24, 10000000 @ -O1, 13.720384
24/02/24, 10000000 @ -O2, 13.683857
24/02/24, 10000000 @ -O3, 13.665158
25/02/24, 500000 @ -O0, 0.036180
25/02/24, 500000 @ -O1, 0.036771
25/02/24, 500000 @ -O2, 0.037193
25/02/24, 500000 @ -O3, 0.037161
25/02/24, 1000000 @ -O0, 0.111960
25/02/24, 1000000 @ -O1, 0.123669
25/02/24, 1000000 @ -O2, 0.106724
25/02/24, 1000000 @ -O3, 0.103708
25/02/24, 5000000 @ -O0, 5.773155
25/02/24, 5000000 @ -O1, 6.050133
25/02/24, 5000000 @ -O2, 6.101385
25/02/24, 5000000 @ -O3, 5.970376
25/02/24, 10000000 @ -O0, 17.210548
25/02/24, 10000000 @ -O1, 17.641468
25/02/24, 10000000 @ -O2, 17.734579
25/02/24, 10000000 @ -O3, 17.452127
26/02/24, 500000 @ -O0, 0.035472
26/02/24, 500000 @ -O1, 0.036043
